,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.BP.5007.01,491.4102254,1.6481578,1.0987059,63.454683,1.9228251,1.3734736,152.4494272,4.1202925,26770.98581,47.7949468,223356.498,29151.74164,0.274649,9.0649015,1
TCGA.B0.5698.01,1975.607824,3.5091072,180.3004528,135.1001508,1.7545182,1.3158573,249.1473307,22.8094114,15235.68696,63.163505,155513.3927,40153.42914,3.9476853,1.7545778,1
TCGA.B0.5706.01,1670.155898,4.0176636,1.6071977,36.1594315,2.0088246,1.6071977,274.4141021,14.8655461,9213.226347,78.7496689,131916.6726,38926.3784,0.4018189,6.8301074,1
TCGA.BP.4173.01,877.9565103,1.7705185,5.5644997,146.0731454,1.8969663,0.379388,145.3129504,4.1735487,9436.128764,29.7208336,145750.5288,14368.99666,0.1264631,5.0587467,1
TCGA.BP.4987.01,622.3069371,2.410175,0.9640069,68.9304229,0.482056,0.482056,133.5190799,21.2086956,25835.50784,47.7198433,247637.7451,44890.58824,0.482056,1.4461282,1
TCGA.B0.5713.01,1495.775455,4.7895128,1.9158166,93.8766133,0.4789774,1.4368678,263.9083473,15.3265617,11112.60476,28.7376125,188515.4352,34328.67916,0.9579548,2.3947374,1
TCGA.B0.5703.01,548.016727,7.6233189,0.8470207,138.0615728,131.1369351,1.6940936,74.5356984,5.9292538,8604.868002,21.1748291,238568.3396,60857.88364,2.5411143,7.6228686,1
TCGA.BP.4973.01,711.0356314,4.2832519,1.2237583,96.9853054,1.2238137,1.2238428,105.5508229,19.5809762,13858.77094,41.9152854,271202.0711,43028.94622,0.3059503,3.6713949,1
TCGA.CJ.4899.01,1041.331843,11.4179726,3.4253759,84.4925611,1.1418188,1.1417647,105.6174857,19.4104586,9989.003212,49.6685233,201115.5536,44735.31311,1.1418188,3.4253759,1
TCGA.B0.5399.01,654.785994,5.423255,1.4462008,51.3404064,0.9038394,0.5422413,128.1728287,19.3430851,13847.148,54.5949813,207988.725,52009.10274,1.4462868,3.4348426,1
